Station,Generating Unit,Technology Type,No load heat input (GJ/h),Marginal heat rate (GJ/MWh)
Jeeralang A,JLA04,OCGT,144.15,12.53
Jeeralang B,JLB01,OCGT,206.70,12.53
Jeeralang B,JLB02,OCGT,206.70,12.53
Jeeralang B,JLB03,OCGT,206.70,12.53
Ladbroke Grove,LADBROK1,OCGT,108.79,9.16
Ladbroke Grove,LADBROK2,OCGT,108.79,9.16
Laverton North,LNGS1,OCGT,424.28,8.78
Laverton North,LNGS2,OCGT,424.28,8.78
Mintaro GT,MINTARO,OCGT,244.78,10.00
Mortlake,MORTLK11,OCGT,794.16,8.43
Mortlake,MORTLK12,OCGT,794.16,8.43
Mt Stuart,MSTUART1,OCGT,397.08,9.16
Mt Stuart,MSTUART2,OCGT,397.08,9.16
Mt Stuart,MSTUART3,OCGT,357.64,9.16
Oakey Power Station,OAKEY1,OCGT,470.51,8.22
Oakey Power Station,OAKEY2,OCGT,470.51,8.22
Port Lincoln GT,POR01-1,OCGT,67.99,10.09
Port Lincoln GT,POR01-2,OCGT,67.99,10.09
Port Lincoln GT,POR01-3,OCGT,63.91,10.09
Quarantine,QPS1,OCGT,78.87,7.99
Quarantine,QPS2,OCGT,65.27,7.99
Quarantine,QPS3,OCGT,65.27,7.99
Quarantine,QPS4,OCGT,65.27,7.99
Quarantine,QPS5,OCGT,348.13,7.99
Roma,ROMA_7,OCGT,108.79,9.16
Roma,ROMA_8,OCGT,108.79,9.16
Smithfield Energy Facility,SITHE01,OCGT,108.11,10.97
Smithfield Energy Facility,SITHE02,OCGT,113.53,10.97
Smithfield Energy Facility,SITHE03,OCGT,113.53,10.97
Smithfield Energy Facility,SITHE04,OCGT,167.99,10.97
Snapper Point Power Station,SNAPPER1_1,OCGT,83.77,7.47
Snapper Point Power Station,SNAPPER1_2,OCGT,83.77,7.47
Snapper Point Power Station,SNAPPER1_3,OCGT,83.77,7.47
Snapper Point Power Station,SNAPPER1_4,OCGT,83.77,7.47
Snapper Point Power Station,SNAPPER1_5,OCGT,83.77,7.47
Snuggery,SNUG1,OCGT,57.11,10.71
Snuggery,SNUG2,OCGT,57.11,10.71
Snuggery,SNUG3,OCGT,57.11,10.71
Somerton,AGLSOM01,OCGT,115.59,12.16
Somerton,AGLSOM02,OCGT,115.59,12.16
Somerton,AGLSOM03,OCGT,115.59,12.16
Somerton,AGLSOM04,OCGT,115.59,12.16
Tamar Valley Peaking,TVPP104,OCGT,157.74,10.00
Uranquinty,URANQ11,OCGT,451.48,8.43
Uranquinty,URANQ12,OCGT,451.48,8.43
Uranquinty,URANQ13,OCGT,451.48,8.43
Uranquinty,URANQ14,OCGT,451.48,8.43
Valley Power,VPGS1,OCGT,135.99,12.16
Valley Power,VPGS2,OCGT,135.99,12.16
Valley Power,VPGS3,OCGT,135.99,12.16
Valley Power,VPGS4,OCGT,135.99,12.16
Valley Power,VPGS5,OCGT,135.99,12.16
Valley Power,VPGS6,OCGT,135.99,12.16
Angaston,ANGAS1,Reciprocating Engine,0.00,12.78
Angaston,ANGAS2,Reciprocating Engine,0.00,12.78
Barker Inlet Power Station,BIPS1_01,Reciprocating Engine,0.00,7.89
Barker Inlet Power Station,BIPS1_02,Reciprocating Engine,0.00,7.89
Barker Inlet Power Station,BIPS1_03,Reciprocating Engine,0.00,7.89
Barker Inlet Power Station,BIPS1_04,Reciprocating Engine,0.00,7.89
Barker Inlet Power Station,BIPS1_05,Reciprocating Engine,0.00,7.89
Barker Inlet Power Station,BIPS1_06,Reciprocating Engine,0.00,7.89
Barker Inlet Power Station,BIPS1_07,Reciprocating Engine,0.00,7.89
Barker Inlet Power Station,BIPS1_08,Reciprocating Engine,0.00,7.89
Barker Inlet Power Station,BIPS1_09,Reciprocating Engine,0.00,7.89
Barker Inlet Power Station,BIPS1_10,Reciprocating Engine,0.00,7.89
Barker Inlet Power Station,BIPS1_11,Reciprocating Engine,0.00,7.89
Barker Inlet Power Station,BIPS1_12,Reciprocating Engine,0.00,7.89
Lonsdale,LONSDALE,Reciprocating Engine,0.00,7.89
Port Stanvac 1,PTSTAN1_1,Reciprocating Engine,0.00,7.89
Port Stanvac 1,PTSTAN1_2,Reciprocating Engine,0.00,7.89
Tallawarra B,Tallawarra B,OCGT,870.31,8.21
Kurri Kurri,Kurri Kurri 1,OCGT,1019.90,8.21
Kurri Kurri,Kurri Kurri 2,OCGT,1019.90,8.21
Kogan Gas,Kogan Gas,Hydrogen-based gas turbines,543.95,10.00
SA Hydrogen Turbine,SA Hydrogen Turbine,Hydrogen-based gas turbines,543.95,10.00
OCGT (small GT),,133.27,7.47
OCGT (large GT),,720.73,8.21
CCGT,,390.13,6.30
CCGT with CCS,,390.13,8.01
Biomass,,39.80,16.04
Hydrogen reciprocating engines,,0.00,11.70
