Generator,Generator type,Region,ISP sub-region,REZ location,Cost zone,Summer Peak Rating,Summer Typical Rating,Winter Rating,Maintenance time out (%),Days out equivalent,Build cost ($/kW),Connection cost ($/kW),Total lead time (years),Economic life (years),Technical life (years),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat rate (GJ/MWh HHV s.o.),Fuel cost ($/GJ),Emissions (kg/MWh),Auxiliary load (%),SRMC ($/MWh)
Wind,Wind,SA,CSA,Yorke Peninsula,SA Low,100.00,100.00,100.00,0.00,0.00,2796.84,120.00,2,25,30,26.73,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,SA,CSA,Northern SA,SA Medium,100.00,100.00,100.00,0.00,0.00,2963.80,250.34,2,25,30,29.94,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,SA,CSA,Leigh Creek,SA Medium,100.00,100.00,100.00,0.00,0.00,2963.80,153.33,2,25,30,29.94,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,SA,CSA,Roxby Downs,SA Medium,100.00,100.00,100.00,0.00,0.00,2963.80,283.67,2,25,30,29.94,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,SA,CSA,Eastern Eyre Peninsula,SA Medium,100.00,100.00,100.00,0.00,0.00,2963.80,283.67,2,25,30,29.94,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,SA,CSA,Western Eyre Peninsula,SA Medium,100.00,100.00,100.00,0.00,0.00,2963.80,146.67,2,25,30,29.94,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,TAS,TAS,North East Tasmania,TAS Low,100.00,100.00,100.00,0.00,0.00,2796.84,410.33,2,25,30,26.73,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,TAS,TAS,North West Tasmania,TAS Medium,100.00,100.00,100.00,0.00,0.00,2951.94,377.00,2,25,30,29.14,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,TAS,TAS,Central Highlands,TAS Low,100.00,100.00,100.00,0.00,0.00,2796.84,357.00,2,25,30,26.73,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,NSW,CNSW,New South Wales Non-REZ,NSW Medium,100.00,100.00,100.00,0.00,0.00,2955.89,367.00,2,25,30,28.87,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,VIC,VIC,Victoria Non-REZ,VIC Medium,100.00,100.00,100.00,0.00,0.00,2861.53,347.00,2,25,30,27.53,-  ,0.00,0.00,0.00,0.07,-   
Wind - offshore (fixed),Wind,NSW,SNW,Hunter Coast,NSW Low,100.00,100.00,100.00,0.00,0.00,6075.76, The connection costs for the new offshore REZs are determined as per the 2023 Transmission Expansion Options Report.,9,25,30,169.73,-  ,0.00,0.00,0.00,0.07,-   
Wind - offshore (fixed),Wind,NSW,SNW,Illawarra Coast,NSW Low,100.00,100.00,100.00,0.00,0.00,6075.76, The connection costs for the new offshore REZs are determined as per the 2023 Transmission Expansion Options Report.,9,25,30,169.73,-  ,0.00,0.00,0.00,0.07,-   
Wind - offshore (fixed),Wind,VIC,VIC,Gippsland Coast,VIC Low,100.00,100.00,100.00,0.00,0.00,6075.76, The connection costs for the new offshore REZs are determined as per the 2023 Transmission Expansion Options Report.,9,25,30,169.73,-  ,0.00,0.00,0.00,0.07,-   
Wind - offshore (fixed),Wind,VIC,VIC,Portland Coast,VIC Low,100.00,100.00,100.00,0.00,0.00,6075.76, The connection costs for the new offshore REZs are determined as per the 2023 Transmission Expansion Options Report.,9,25,30,169.73,-  ,0.00,0.00,0.00,0.07,-   
Wind - offshore (fixed),Wind,SA,SESA,South East SA Coast,SA Low,100.00,100.00,100.00,0.00,0.00,6075.76, The connection costs for the new offshore REZs are determined as per the 2023 Transmission Expansion Options Report.,9,25,30,169.73,-  ,0.00,0.00,0.00,0.07,-   
Wind - offshore (fixed),Wind,TAS,TAS,North West Tasmania Coast,TAS Low,100.00,100.00,100.00,0.00,0.00,6075.76, The connection costs for the new offshore REZs are determined as per the 2023 Transmission Expansion Options Report.,9,25,30,169.73,-  ,0.00,0.00,0.00,0.07,-   
Wind - offshore (fixed),Wind,TAS,TAS,North East Tasmania Coast,TAS Low,100.00,100.00,100.00,0.00,0.00,6075.76, The connection costs for the new offshore REZs are determined as per the 2023 Transmission Expansion Options Report.,9,25,30,169.73,-  ,0.00,0.00,0.00,0.07,-   
Wind - offshore (floating),Wind,NSW,SNW,Hunter Coast,NSW Low,100.00,100.00,100.00,0.00,0.00,8417.53, The connection costs for the new offshore REZs are determined as per the 2023 Transmission Expansion Options Report.,9,25,30,625.63,-  ,0.00,0.00,0.00,0.07,-   
Wind - offshore (floating),Wind,NSW,SNW,Illawarra Coast,NSW Low,100.00,100.00,100.00,0.00,0.00,8417.53, The connection costs for the new offshore REZs are determined as per the 2023 Transmission Expansion Options Report.,9,25,30,625.63,-  ,0.00,0.00,0.00,0.07,-   
Wind - offshore (floating),Wind,VIC,VIC,Gippsland Coast,VIC Low,100.00,100.00,100.00,0.00,0.00,8417.53, The connection costs for the new offshore REZs are determined as per the 2023 Transmission Expansion Options Report.,9,25,30,625.63,-  ,0.00,0.00,0.00,0.07,-   
Wind - offshore (floating),Wind,VIC,VIC,Portland Coast,VIC Low,100.00,100.00,100.00,0.00,0.00,8417.53, The connection costs for the new offshore REZs are determined as per the 2023 Transmission Expansion Options Report.,9,25,30,625.63,-  ,0.00,0.00,0.00,0.07,-   
Wind - offshore (floating),Wind,SA,SESA,South East SA Coast,SA Low,100.00,100.00,100.00,0.00,0.00,8417.53, The connection costs for the new offshore REZs are determined as per the 2023 Transmission Expansion Options Report.,9,25,30,625.63,-  ,0.00,0.00,0.00,0.07,-   
Wind - offshore (floating),Wind,TAS,TAS,North West Tasmania Coast,TAS Low,100.00,100.00,100.00,0.00,0.00,8417.53, The connection costs for the new offshore REZs are determined as per the 2023 Transmission Expansion Options Report.,9,25,30,625.63,-  ,0.00,0.00,0.00,0.07,-   
Wind - offshore (floating),Wind,TAS,TAS,North East Tasmania Coast,TAS Low,100.00,100.00,100.00,0.00,0.00,8417.53, The connection costs for the new offshore REZs are determined as per the 2023 Transmission Expansion Options Report.,9,25,30,625.63,-  ,0.00,0.00,0.00,0.07,-   
Pumped Hydro (8hrs storage),Water,QLD,NQ,N/A,NQ,100.00,100.00,100.00,0.27,1.00,3389.02,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (8hrs storage),Water,QLD,CQ,N/A,CQ,100.00,100.00,100.00,0.27,1.00,3389.02,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (8hrs storage),Water,QLD,GG,N/A,GG,100.00,100.00,100.00,0.27,1.00,-  ,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (8hrs storage),Water,QLD,SQ,N/A,SQ,100.00,100.00,100.00,0.27,1.00,3737.99,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (8hrs storage),Water,NSW,NNSW,N/A,NNSW,100.00,100.00,100.00,0.27,1.00,2956.16,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (8hrs storage),Water,NSW,CNSW,N/A,CNSW,100.00,100.00,100.00,0.27,1.00,3439.35,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (8hrs storage),Water,NSW,SNW,N/A,SNW,100.00,100.00,100.00,0.27,1.00,-  ,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (8hrs storage),Water,NSW,SNSW,N/A,SNSW,100.00,100.00,100.00,0.27,1.00,3503.10,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (8hrs storage),Water,VIC,VIC,N/A,VIC,100.00,100.00,100.00,0.27,1.00,3355.46,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (8hrs storage),Water,SA,CSA,N/A,CSA,100.00,100.00,100.00,0.27,1.00,4533.23,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (8hrs storage),Water,SA,SESA,N/A,SESA,100.00,100.00,100.00,0.27,1.00,-  ,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (8hrs storage),Water,TAS,TAS,N/A,TAS,100.00,100.00,100.00,0.27,1.00,2509.89,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (24hrs storage),Water,QLD,NQ,N/A,NQ,100.00,100.00,100.00,0.27,1.00,4144.09,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (24hrs storage),Water,QLD,CQ,N/A,CQ,100.00,100.00,100.00,0.27,1.00,4144.09,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (24hrs storage),Water,QLD,GG,N/A,GG,100.00,100.00,100.00,0.27,1.00,-  ,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (24hrs storage),Water,QLD,SQ,N/A,SQ,100.00,100.00,100.00,0.27,1.00,4539.67,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (24hrs storage),Water,NSW,NNSW,N/A,NNSW,100.00,100.00,100.00,0.27,1.00,3870.96,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (24hrs storage),Water,NSW,CNSW,N/A,CNSW,100.00,100.00,100.00,0.27,1.00,5085.93,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (24hrs storage),Water,NSW,SNW,N/A,SNW,100.00,100.00,100.00,0.27,1.00,-  ,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (24hrs storage),Water,NSW,SNSW,N/A,SNSW,100.00,100.00,100.00,0.27,1.00,4728.03,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (24hrs storage),Water,VIC,VIC,N/A,VIC,100.00,100.00,100.00,0.27,1.00,4709.20,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (24hrs storage),Water,SA,CSA,N/A,CSA,100.00,100.00,100.00,0.27,1.00,7850.23,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (24hrs storage),Water,SA,SESA,N/A,SESA,100.00,100.00,100.00,0.27,1.00,-  ,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (24hrs storage),Water,TAS,TAS,N/A,TAS,100.00,100.00,100.00,0.27,1.00,2910.28,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (48hrs storage),Water,QLD,NQ,N/A,NQ,100.00,100.00,100.00,0.27,1.00,6112.36,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (48hrs storage),Water,QLD,CQ,N/A,CQ,100.00,100.00,100.00,0.27,1.00,6112.36,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (48hrs storage),Water,QLD,GG,N/A,GG,100.00,100.00,100.00,0.27,1.00,-  ,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (48hrs storage),Water,QLD,SQ,N/A,SQ,100.00,100.00,100.00,0.27,1.00,6197.25,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (48hrs storage),Water,NSW,NNSW,N/A,NNSW,100.00,100.00,100.00,0.27,1.00,4414.48,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (48hrs storage),Water,NSW,CNSW,N/A,CNSW,100.00,100.00,100.00,0.27,1.00,7930.50,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (48hrs storage),Water,NSW,SNW,N/A,SNW,100.00,100.00,100.00,0.27,1.00,-  ,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (48hrs storage),Water,NSW,SNSW,N/A,SNSW,100.00,100.00,100.00,0.27,1.00,6444.86,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (48hrs storage),Water,VIC,VIC,N/A,VIC,100.00,100.00,100.00,0.27,1.00,7074.49,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (48hrs storage),Water,SA,CSA,N/A,CSA,100.00,100.00,100.00,0.27,1.00,-  ,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (48hrs storage),Water,SA,SESA,N/A,SESA,100.00,100.00,100.00,0.27,1.00,-  ,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
Pumped Hydro (48hrs storage),Water,TAS,TAS,N/A,TAS,100.00,100.00,100.00,0.27,1.00,3282.56,-  ,6,40,50,19.09,-  ,0.00,0.00,0.00,0.50,-   
BOTN - Cethana,Water,TAS,TAS,N/A,TAS,100.00,100.00,100.00,0.27,1.00,2400.75,-  ,6,40,50,20.81,-  ,0.00,0.00,0.00,0.50,-   
Hydrogen reciprocating engines,Hydrogen,QLD,NQ,N/A,QLD Low,100.00,100.00,100.00,0.74,2.70,2606.95,110.49,4,25,40,35.29,-  ,11.70,18.82,0.00,4.00,220.20 
Hydrogen reciprocating engines,Hydrogen,QLD,CQ,N/A,QLD Low,100.00,100.00,100.00,0.74,2.70,2606.95,110.49,4,25,40,35.29,-  ,11.70,18.82,0.00,4.00,220.20 
Hydrogen reciprocating engines,Hydrogen,QLD,GG,N/A,QLD Low,100.00,100.00,100.00,0.74,2.70,2606.95,110.49,4,25,40,35.29,-  ,11.70,18.82,0.00,4.00,220.20 
Hydrogen reciprocating engines,Hydrogen,QLD,SQ,N/A,QLD Low,100.00,100.00,100.00,0.74,2.70,2606.95,110.49,4,25,40,35.29,-  ,11.70,18.82,0.00,4.00,220.20 
Hydrogen reciprocating engines,Hydrogen,NSW,NNSW,N/A,NSW Low,100.00,100.00,100.00,0.74,2.70,2606.95,85.54,4,25,40,35.29,-  ,11.70,18.82,0.00,4.00,220.20 
Hydrogen reciprocating engines,Hydrogen,NSW,CNSW,N/A,NSW Low,100.00,100.00,100.00,0.74,2.70,2606.95,85.54,4,25,40,35.29,-  ,11.70,18.82,0.00,4.00,220.20 
Hydrogen reciprocating engines,Hydrogen,NSW,SNW,N/A,NSW Low,100.00,100.00,100.00,0.74,2.70,2606.95,85.54,4,25,40,35.29,-  ,11.70,18.82,0.00,4.00,220.20 
Hydrogen reciprocating engines,Hydrogen,NSW,SNSW,N/A,NSW Medium,100.00,100.00,100.00,0.74,2.70,2731.31,85.54,4,25,40,38.11,-  ,11.70,18.82,0.00,4.00,220.20 
Hydrogen reciprocating engines,Hydrogen,VIC,VIC,N/A,VIC Low,100.00,100.00,100.00,0.74,2.70,2606.95,115.48,4,25,40,35.29,-  ,11.70,18.82,0.00,4.00,220.20 
Hydrogen reciprocating engines,Hydrogen,SA,CSA,N/A,SA Low,100.00,100.00,100.00,0.74,2.70,2606.95,110.49,4,25,40,35.29,-  ,11.70,18.82,0.00,4.00,220.20 
Hydrogen reciprocating engines,Hydrogen,SA,SESA,N/A,SA Medium,100.00,100.00,100.00,0.74,2.70,2683.60,110.49,4,25,40,39.52,-  ,11.70,18.82,0.00,4.00,220.20 
Hydrogen reciprocating engines,Hydrogen,TAS,TAS,N/A,TAS Low,100.00,100.00,100.00,0.74,2.70,2606.95,115.48,4,25,40,35.29,-  ,11.70,18.82,0.00,4.00,220.20 
