Generator,Generator type,Region,ISP sub-region,REZ location,Cost zone,Summer Peak Rating,Summer Typical Rating,Winter Rating,Maintenance time out (%),Days out equivalent,Build cost ($/kW),Connection cost ($/kW),Total lead time (years),Economic life (years),Technical life (years),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat rate (GJ/MWh HHV s.o.),Fuel cost ($/GJ),Emissions (kg/MWh),Auxiliary load (%),SRMC ($/MWh)
Solar Thermal (15hrs storage),Solar,TAS,TAS,Central Highlands,TAS Low,100.00,100.00,100.00,1.92,7.00,6977.18,357.00,6,25,40,141.15,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,NSW,CNSW,New South Wales Non-REZ,NSW Medium,100.00,100.00,100.00,1.92,7.00,7395.12,367.00,6,25,40,152.44,-  ,0.00,0.00,0.00,10.00,-   
Solar Thermal (15hrs storage),Solar,VIC,VIC,Victoria Non-REZ,VIC Medium,100.00,100.00,100.00,1.92,7.00,7162.78,347.00,6,25,40,145.38,-  ,0.00,0.00,0.00,10.00,-   
Battery Storage (1hr storage),Battery,QLD,NQ,N/A,QLD Low,100.00,100.00,99.95,0.00,0.00,995.52,103.37,2,20,20,7.59,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (1hr storage),Battery,QLD,CQ,N/A,QLD Low,100.00,100.00,99.95,0.00,0.00,995.52,103.37,2,20,20,7.59,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (1hr storage),Battery,QLD,GG,N/A,QLD Low,100.00,100.00,99.95,0.00,0.00,995.52,103.37,2,20,20,7.59,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (1hr storage),Battery,QLD,SQ,N/A,QLD Low,100.00,100.00,99.95,0.00,0.00,995.52,103.37,2,20,20,7.59,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (1hr storage),Battery,NSW,NNSW,N/A,NSW Low,100.00,100.00,99.95,0.00,0.00,995.52,77.52,2,20,20,7.59,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (1hr storage),Battery,NSW,CNSW,N/A,NSW Low,100.00,100.00,99.95,0.00,0.00,995.52,77.52,2,20,20,7.59,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (1hr storage),Battery,NSW,SNW,N/A,NSW Low,100.00,100.00,99.95,0.00,0.00,995.52,77.52,2,20,20,7.59,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (1hr storage),Battery,NSW,SNSW,N/A,NSW Medium,100.00,100.00,99.95,0.00,0.00,1038.82,77.52,2,20,20,8.20,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (1hr storage),Battery,VIC,VIC,N/A,VIC Low,100.00,100.00,99.95,0.00,0.00,995.52,106.93,2,20,20,7.59,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (1hr storage),Battery,SA,CSA,N/A,SA Low,100.00,100.00,99.95,0.00,0.00,995.52,103.37,2,20,20,7.59,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (1hr storage),Battery,SA,SESA,N/A,SA Medium,100.00,100.00,99.95,0.00,0.00,1022.40,103.37,2,20,20,8.50,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (1hr storage),Battery,TAS,TAS,N/A,TAS Low,100.00,100.00,99.95,0.00,0.00,995.52,106.93,2,20,20,7.59,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (2hrs storage),Battery,QLD,NQ,N/A,QLD Low,100.00,100.00,99.85,0.00,0.00,1439.28,103.37,2,20,20,10.80,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (2hrs storage),Battery,QLD,CQ,N/A,QLD Low,100.00,100.00,99.85,0.00,0.00,1439.28,103.37,2,20,20,10.80,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (2hrs storage),Battery,QLD,GG,N/A,QLD Low,100.00,100.00,99.85,0.00,0.00,1439.28,103.37,2,20,20,10.80,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (2hrs storage),Battery,QLD,SQ,N/A,QLD Low,100.00,100.00,99.85,0.00,0.00,1439.28,103.37,2,20,20,10.80,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (2hrs storage),Battery,NSW,NNSW,N/A,NSW Low,100.00,100.00,99.85,0.00,0.00,1439.28,77.52,2,20,20,10.80,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (2hrs storage),Battery,NSW,CNSW,N/A,NSW Low,100.00,100.00,99.85,0.00,0.00,1439.28,77.52,2,20,20,10.80,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (2hrs storage),Battery,NSW,SNW,N/A,NSW Low,100.00,100.00,99.85,0.00,0.00,1439.28,77.52,2,20,20,10.80,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (2hrs storage),Battery,NSW,SNSW,N/A,NSW Medium,100.00,100.00,99.85,0.00,0.00,1505.63,77.52,2,20,20,11.66,-  ,0.00,0.00,0.00,0.00,-   
Battery storage (2hrs storage),Battery,VIC,VIC,N/A,VIC Low,100.00,100.00,99.85,0.00,0.00,1439.28,106.93,2,20,20,10.80,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (2hrs storage),Battery,SA,CSA,N/A,SA Low,100.00,100.00,99.85,0.00,0.00,1439.28,103.37,2,20,20,10.80,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (2hrs storage),Battery,SA,SESA,N/A,SA Medium,100.00,100.00,99.85,0.00,0.00,1488.50,103.37,2,20,20,12.10,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (2hrs storage),Battery,TAS,TAS,N/A,TAS Low,100.00,100.00,99.85,0.00,0.00,1439.28,106.93,2,20,20,10.80,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (4hrs storage),Battery,QLD,NQ,N/A,QLD Low,100.00,100.00,99.90,0.00,0.00,2335.35,103.37,3,20,20,17.32,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (4hrs storage),Battery,QLD,CQ,N/A,QLD Low,100.00,100.00,99.90,0.00,0.00,2335.35,103.37,3,20,20,17.32,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (4hrs storage),Battery,QLD,GG,N/A,QLD Low,100.00,100.00,99.90,0.00,0.00,2335.35,103.37,3,20,20,17.32,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (4hrs storage),Battery,QLD,SQ,N/A,QLD Low,100.00,100.00,99.90,0.00,0.00,2335.35,103.37,3,20,20,17.32,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (4hrs storage),Battery,NSW,NNSW,N/A,NSW Low,100.00,100.00,99.90,0.00,0.00,2335.35,77.52,3,20,20,17.32,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (4hrs storage),Battery,NSW,CNSW,N/A,NSW Low,100.00,100.00,99.90,0.00,0.00,2335.35,77.52,3,20,20,17.32,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (4hrs storage),Battery,NSW,SNW,N/A,NSW Low,100.00,100.00,99.90,0.00,0.00,2335.35,77.52,3,20,20,17.32,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (4hrs storage),Battery,NSW,SNSW,N/A,NSW Medium,100.00,100.00,99.90,0.00,0.00,2455.15,77.52,3,20,20,18.71,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (4hrs storage),Battery,VIC,VIC,N/A,VIC Low,100.00,100.00,99.90,0.00,0.00,2335.35,106.93,3,20,20,17.32,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (4hrs storage),Battery,SA,CSA,N/A,SA Low,100.00,100.00,99.90,0.00,0.00,2335.35,103.37,3,20,20,17.32,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (4hrs storage),Battery,SA,SESA,N/A,SA Medium,100.00,100.00,99.90,0.00,0.00,2448.85,103.37,3,20,20,19.40,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (4hrs storage),Battery,TAS,TAS,N/A,TAS Low,100.00,100.00,99.90,0.00,0.00,2335.35,106.93,3,20,20,17.32,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (8hrs storage),Battery,QLD,NQ,N/A,QLD Low,100.00,100.00,99.84,0.00,0.00,4107.40,103.37,3,20,20,30.69,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (8hrs storage),Battery,QLD,CQ,N/A,QLD Low,100.00,100.00,99.84,0.00,0.00,4107.40,103.37,3,20,20,30.69,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (8hrs storage),Battery,QLD,GG,N/A,QLD Low,100.00,100.00,99.84,0.00,0.00,4107.40,103.37,3,20,20,30.69,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (8hrs storage),Battery,QLD,SQ,N/A,QLD Low,100.00,100.00,99.84,0.00,0.00,4107.40,103.37,3,20,20,30.69,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (8hrs storage),Battery,NSW,NNSW,N/A,NSW Low,100.00,100.00,99.84,0.00,0.00,4107.40,77.52,3,20,20,30.69,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (8hrs storage),Battery,NSW,CNSW,N/A,NSW Low,100.00,100.00,99.84,0.00,0.00,4107.40,77.52,3,20,20,30.69,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (8hrs storage),Battery,NSW,SNW,N/A,NSW Low,100.00,100.00,99.84,0.00,0.00,4107.40,77.52,3,20,20,30.69,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (8hrs storage),Battery,NSW,SNSW,N/A,NSW Medium,100.00,100.00,99.84,0.00,0.00,4328.95,77.52,3,20,20,33.14,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (8hrs storage),Battery,VIC,VIC,N/A,VIC Low,100.00,100.00,99.84,0.00,0.00,4107.40,106.93,3,20,20,30.69,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (8hrs storage),Battery,SA,CSA,N/A,SA Low,100.00,100.00,99.84,0.00,0.00,4107.40,103.37,3,20,20,30.69,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (8hrs storage),Battery,SA,SESA,N/A,SA Medium,100.00,100.00,99.84,0.00,0.00,4336.83,103.37,3,20,20,34.37,-  ,0.00,0.00,0.00,0.00,-   
Battery Storage (8hrs storage),Battery,TAS,TAS,N/A,TAS Low,100.00,100.00,99.84,0.00,0.00,4107.40,106.93,3,20,20,30.69,-  ,0.00,0.00,0.00,0.00,-   
Wind,Wind,QLD,NQ,Far North QLD,QLD Low,100.00,100.00,100.00,0.00,0.00,2796.84,253.67,2,25,30,26.73,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,QLD,NQ,North Qld Clean Energy Hub,QLD Low,100.00,100.00,100.00,0.00,0.00,2796.84,297.00,2,25,30,26.73,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,QLD,NQ,Northern Qld,QLD Low,100.00,100.00,100.00,0.00,0.00,2796.84,253.67,2,25,30,26.73,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,QLD,CQ,Isaac,QLD Low,100.00,100.00,100.00,0.00,0.00,2796.84,250.33,2,25,30,26.73,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,QLD,CQ,Barcaldine,QLD Medium,100.00,100.00,100.00,0.00,0.00,2972.84,150.00,2,25,30,29.94,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,QLD,CQ,Fitzroy,QLD Low,100.00,100.00,100.00,0.00,0.00,2796.84,250.33,2,25,30,26.73,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,QLD,SQ,Wide Bay,QLD Low,100.00,100.00,100.00,0.00,0.00,2796.84,113.33,2,25,30,26.73,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,QLD,SQ,Darling Downs,QLD Low,100.00,100.00,100.00,0.00,0.00,2796.84,116.67,2,25,30,26.73,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,QLD,SQ,Banana,QLD Medium,100.00,100.00,100.00,0.00,0.00,2972.84,367.00,2,25,30,29.94,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,NSW,NNSW,North West NSW,NSW Medium,100.00,100.00,100.00,0.00,0.00,2955.89,135.00,2,25,30,28.87,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,NSW,NNSW,New England,NSW Low,100.00,100.00,100.00,0.00,0.00,2796.84,135.00,2,25,30,26.73,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,NSW,CNSW,Central-West Orana,NSW Medium,100.00,100.00,100.00,0.00,0.00,2955.89,135.00,2,25,30,28.87,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,NSW,SNSW,Broken Hill,NSW High,100.00,100.00,100.00,0.00,0.00,3094.04,176.00,2,25,30,31.28,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,NSW,SNSW,South West NSW,NSW High,100.00,100.00,100.00,0.00,0.00,3094.04,135.00,2,25,30,31.28,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,NSW,SNSW,Wagga Wagga,NSW Medium,100.00,100.00,100.00,0.00,0.00,2955.89,272.00,2,25,30,28.87,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,NSW,SNSW,Tumut,NSW Medium,100.00,100.00,100.00,0.00,0.00,2955.89,100.00,2,25,30,28.87,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,NSW,SNSW,Cooma-Monaro,NSW Medium,100.00,100.00,100.00,0.00,0.00,2955.89,100.00,2,25,30,28.87,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,NSW,CNSW,Hunter-Central Coast,NSW Low,100.00,100.00,100.00,0.00,0.00,2796.84,100.00,2,25,30,26.73,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,NSW,SNW,Illawarra,NSW Low,100.00,100.00,100.00,0.00,0.00,2796.84,100.00,2,25,30,26.73,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,VIC,VIC,Ovens Murray,VIC Medium,100.00,100.00,100.00,0.00,0.00,2861.53,136.00,2,25,30,27.53,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,VIC,VIC,Murray River,VIC Medium,100.00,100.00,100.00,0.00,0.00,2861.53,269.00,2,25,30,27.53,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,VIC,VIC,Western Victoria,VIC Medium,100.00,100.00,100.00,0.00,0.00,2861.53,277.00,2,25,30,27.53,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,VIC,VIC,South West Victoria,VIC Medium,100.00,100.00,100.00,0.00,0.00,2861.53,277.00,2,25,30,27.53,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,VIC,VIC,Gippsland,VIC Low,100.00,100.00,100.00,0.00,0.00,2796.84,340.00,2,25,30,26.73,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,VIC,VIC,Central North Vic,VIC High,100.00,100.00,100.00,0.00,0.00,2897.70,321.00,2,25,30,28.07,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,SA,SESA,South East SA,SA Low,100.00,100.00,100.00,0.00,0.00,2796.84,287.00,2,25,30,26.73,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,SA,CSA,Riverland,SA Low,100.00,100.00,100.00,0.00,0.00,2796.84,166.67,2,25,30,26.73,-  ,0.00,0.00,0.00,0.07,-   
Wind,Wind,SA,CSA,Mid-North SA,SA Low,100.00,100.00,100.00,0.00,0.00,2796.84,257.00,2,25,30,26.73,-  ,0.00,0.00,0.00,0.07,-   
