Generator,Region,Installed capacity (MW)
Dundonnell Wind Farm,VIC,336
Elaine Wind Farm,VIC,84
Granville Harbour Wind Farm,TAS,112
Gullen Range Wind Farm,NSW,166
Gullen Range Wind Farm 2,NSW,111
Gunning Wind Farm,NSW,47
Hallett 4 North Brown Hill Wind Farm,SA,132
Hallett 5 The Bluff Wind Farm,SA,53
Hallett Stage 1 Brown Hill Wind Farm,SA,95
Hallett Stage 2 Hallett Hill Wind Farm,SA,71
Hornsdale Wind Farm Stage 1,SA,102
Hornsdale Wind Farm Stage 2,SA,102
Hornsdale Wind Farm Stage 3,SA,112
Kaban Green Power Hub - Wind Farm,QLD,157
Kennedy Energy Park Wind Farm,QLD,43
Kiata Wind Farm,VIC,31
Lake Bonney 1 Wind Farm,SA,81
Lake Bonney 2 Wind Farm,SA,159
Lake Bonney 3 Wind Farm,SA,39
Lincoln Gap Wind Farm - stage 2,SA,86
Lincoln Gap Wind Farm - stage 1,SA,126
Macarthur Wind Farm,VIC,420
Moorabool Wind Farm,VIC,312
Mortlake South Wind Farm,VIC,158
Mortons Lane Wind Farm,VIC,20
Mount Emerald Wind Farm,QLD,181
Mount Millar Wind Farm,SA,72
Mt Gellibrand Wind Farm,VIC,139
Mt Mercer Wind Farm,VIC,131
Murra Warra Wind Farm - stage 1,VIC,226
Murra Warra Wind Farm - stage 2,VIC,209
Musselroe Wind Farm,TAS,168
Oaklands Hill Wind Farm,VIC,67
Port Augusta Renewable Energy Park - Wind,SA,210
Portland Wind Farm,VIC,152
Salt Creek Wind Farm,VIC,54
Sapphire Wind Farm,NSW,270
Silverton Wind Farm,NSW,199
Snowtown S2 Wind Farm,SA,270
Snowtown Wind Farm,SA,99
Starfish Hill Wind Farm,SA,33
Stockyard Hill Wind Farm,VIC,528
Taralga Wind Farm,NSW,107
Waterloo Wind Farm,SA,131
Wattle Point Wind Farm,SA,91
Waubra Wind Farm,VIC,192
White Rock Wind Farm - Stage 1,NSW,172
Willogoleche Wind Farm,SA,119
Woodlawn Wind Farm,NSW,48
Woolnorth Wind Farm,TAS,140
Yaloak South Wind Farm,VIC,29
Yambuk Wind Farm,VIC,30
Yendon Wind Farm,VIC,144
