Generator,Generator type,Region,ISP sub-region,REZ location,Fuel/technology type,Maximum capacity (MW),Summer rating (MW),Summer typical rating (MW),Winter rating (MW),Maintenance duration (%),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat rate (GJ/MWh HHV s.o.),Fuel cost ($/GJ),Emissions (kg/MWh),MLF,Auxiliary load (%),SRMC ($/MWh),Expected retirement year
Jeeralang B,OCGT,VIC,VIC,N/A,OCGT,228,213,230,257,1.37,18.08,12.57,15.25,16.32,757.96,0.98,0.61,261.54,2039
Laverton North,OCGT,VIC,VIC,N/A,OCGT,312,336,344,344,1.37,18.08,12.57,11.50,16.62,638.18,1.00,0.61,203.77,2070
Mortlake,OCGT,VIC,VIC,N/A,OCGT,584,514,532,584,1.37,18.08,12.57,11.15,16.74,467.11,0.99,0.61,199.15,2047
Somerton,OCGT,VIC,VIC,N/A,OCGT,170,140,170,170,1.37,18.08,12.57,14.88,16.32,732.59,1.00,0.61,255.37,2033
Valley Power,OCGT,VIC,VIC,N/A,OCGT,300,285,300,336,1.37,18.08,12.57,14.88,16.62,805.78,0.98,0.61,259.87,2070
Torrens Island B,Gas-powered steam turbine,SA,CSA,N/A,Gas-powered steam turbine,800,0,0,0,0.68,56.24,2.78,10.71,16.90,593.04,1.00,5.00,183.88,2026
Newport,Gas-powered steam turbine,VIC,VIC,N/A,Gas-powered steam turbine,500,475,510,510,0.68,56.24,2.78,10.29,16.32,532.54,0.99,5.00,170.66,2039
Angaston,Reciprocating Engine,SA,CSA,N/A,Liquid Fuel,36,36,36,36,1.64,18.04,13.34,12.78,35.43,685.76,1.00,0.67,465.98,2070
Barker Inlet Power Station,Reciprocating Engine,SA,CSA,N/A,OCGT,210,205,210,210,1.64,18.04,13.34,7.89,16.60,567.51,1.00,0.61,144.40,2044
Lonsdale,Reciprocating Engine,SA,CSA,N/A,Liquid Fuel,21,21,21,21,1.64,18.04,13.34,7.89,35.43,657.98,1.00,0.67,293.06,2070
Port Stanvac 1,Reciprocating Engine,SA,CSA,N/A,Liquid Fuel,47,47,47,47,1.64,18.04,13.34,7.89,35.43,657.98,1.00,0.67,293.06,2070
Blowering,Hydro,NSW,SNSW,N/A,Hydro,80,70,70,70,0.27,69.51,8.58,0.00,0.00,0.00,0.92,0.34,8.58,2070
Guthega,Hydro,NSW,SNSW,N/A,Hydro,60,68,68,68,0.27,69.51,8.58,0.00,0.00,0.00,0.89,0.34,8.58,2070
Hume Dam NSW,Hydro,NSW,SNSW,N/A,Hydro,29,29,29,0,0.27,69.51,8.58,0.00,0.00,0.00,0.92,0.34,8.58,2057
Shoalhaven,Hydro,NSW,CNSW,N/A,Hydro,247,247,247,247,0.27,69.51,8.58,0.00,0.00,0.00,0.97,0.34,8.58,2069
Tumut 3,Hydro,NSW,SNSW,N/A,Hydro,1500,1800,1800,1800,0.27,69.51,8.58,0.00,0.00,0.00,0.93,0.34,8.58,2070
Upper Tumut,Hydro,NSW,SNSW,N/A,Hydro,616,724,724,724,0.27,69.51,8.58,0.00,0.00,0.00,0.93,0.34,8.58,2070
Barron Gorge,Hydro,QLD,NQ,N/A,Hydro,70,66,66,66,0.27,69.51,8.58,0.00,0.00,0.00,0.96,0.34,8.58,2042
Kareeya,Hydro,QLD,NQ,N/A,Hydro,86,86,86,86,0.27,69.51,8.58,0.00,0.00,0.00,0.96,0.34,8.58,2037
Wivenhoe,Hydro,QLD,SQ,N/A,Hydro,570,570,570,570,0.27,69.51,8.58,0.00,0.00,0.00,1.00,0.34,8.58,2084
Bastyan,Hydro,TAS,TAS,N/A,Hydro,80,84,84,84,0.27,69.51,8.58,0.00,0.00,0.00,0.92,0.34,8.58,2100
Catagunya / Liapootah / Wayatinah,Hydro,TAS,TAS,N/A,Hydro,177,174,174,174,0.27,69.51,8.58,0.00,0.00,0.00,0.98,0.34,8.58,2100
Cethana,Hydro,TAS,TAS,N/A,Hydro,85,95,95,95,0.27,69.51,8.58,0.00,0.00,0.00,0.95,0.34,8.58,2100
