IASR ID,Power Station,Technology Type,Region,Sub-region,REZ Location,REZ ID,Status,Regional build cost zone,Maximum capacity (MW),Storage capacity (MWh),SP2025-26,ST2032-33,W2033,Minimum Stable Limit,No-Load  Heat Rate,Marginal Heat Rate,Pumping efficiency (%),Charge efficiency (%),Discharge efficiency (%),Allowable max state of charge (%),Allowable min state of charge (%),Round trip efficiency (%),Annual degradation (%),Max Ramp Up (MW/min),Max Ramp Down (MW/min),Maintenance - Proportion of time out (%),Maintenance - Equivalent average days per year on planned outage,Full outage (% of time),Partial outage (% of time),Full outage MTTR (hrs),Partial outage MTTR (hrs),Partial Outage Derating Factor (%),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat rate (GJ/MWh HHV s.o.),Fuel cost ($/GJ),Scope 1 Emissions (kg/MWh),MLF,Auxiliary load (% of nameplate capacity),SRMC ($/MWh),Expected Closure Year (Calendar year),Retirement / Rehabilitation cost ($/MW),Fault Level Replacement Cost ($M)
ER03,Eraring,Steam Sub Critical,NSW,SNW,Not Applicable,Not Applicable,Existing,Not Applicable,720,,660,0,0,180,648.00,9.26,not found,not found,not found,not found,not found,not found,not found,5,5,5.48,20.00,5.33%,30.52%,148.7062284,27.53229991,18.65%,28.00,8.00,10.16,7.02,572.62,0.98,5.48,79.27,2027,254000,122.95
ER04,Eraring,Steam Sub Critical,NSW,SNW,Not Applicable,Not Applicable,Existing,Not Applicable,720,,660,0,0,180,648.00,9.26,not found,not found,not found,not found,not found,not found,not found,5,5,5.48,20.00,5.33%,30.52%,148.7062284,27.53229991,18.65%,28.00,8.00,10.16,7.02,572.62,0.98,5.48,79.27,2027,254000,122.95
GSTONE1,Gladstone,Steam Sub Critical,QLD,GG,Not Applicable,Not Applicable,Existing,Not Applicable,280,,280,280,280,110,396.00,8.88,not found,not found,not found,not found,not found,not found,not found,5,5,5.48,20.00,9.27%,20.44%,153.2102879,49.09239354,26.86%,38.00,7.00,10.30,6.36,652.11,0.95,6.67,72.54,2035,254000,47.81
GSTONE2,Gladstone,Steam Sub Critical,QLD,GG,Not Applicable,Not Applicable,Existing,Not Applicable,280,,280,280,280,110,396.00,8.88,not found,not found,not found,not found,not found,not found,not found,5,5,5.48,20.00,9.27%,20.44%,153.2102879,49.09239354,26.86%,38.00,7.00,10.30,6.36,652.11,0.95,6.67,72.54,2035,254000,47.81
GSTONE3,Gladstone,Steam Sub Critical,QLD,GG,Not Applicable,Not Applicable,Existing,Not Applicable,280,,280,280,280,110,396.00,8.88,not found,not found,not found,not found,not found,not found,not found,5,5,5.48,20.00,9.27%,20.44%,153.2102879,49.09239354,26.86%,38.00,7.00,10.30,6.36,652.11,0.95,6.67,72.54,2035,254000,47.81
GSTONE4,Gladstone,Steam Sub Critical,QLD,GG,Not Applicable,Not Applicable,Existing,Not Applicable,280,,280,280,280,110,396.00,8.88,not found,not found,not found,not found,not found,not found,not found,5,5,5.48,20.00,9.27%,20.44%,153.2102879,49.09239354,26.86%,38.00,7.00,10.30,6.36,652.11,0.95,6.67,72.54,2035,254000,47.81
GSTONE5,Gladstone,Steam Sub Critical,QLD,GG,Not Applicable,Not Applicable,Existing,Not Applicable,280,,280,280,280,110,396.00,8.88,not found,not found,not found,not found,not found,not found,not found,5,5,5.48,20.00,9.27%,20.44%,153.2102879,49.09239354,26.86%,38.00,7.00,10.30,6.36,652.11,0.95,6.67,72.54,2035,254000,47.81
GSTONE6,Gladstone,Steam Sub Critical,QLD,GG,Not Applicable,Not Applicable,Existing,Not Applicable,280,,280,280,280,110,396.00,8.88,not found,not found,not found,not found,not found,not found,not found,5,5,5.48,20.00,9.27%,20.44%,153.2102879,49.09239354,26.86%,38.00,7.00,10.30,6.36,652.11,0.95,6.67,72.54,2035,254000,47.81
KPP_1,Kogan Creek,Steam Super Critical,QLD,SQ,Not Applicable,Not Applicable,Existing,Not Applicable,744,,715,730,760,180,648.00,8.80,not found,not found,not found,not found,not found,not found,not found,8,8,5.48,20.00,9.27%,20.44%,153.2102879,49.09239354,26.86%,52.00,8.00,9.67,2.32,545.23,0.97,6.67,30.46,2042,247000,127.05
MPP_1,Millmerran,Steam Super Critical,QLD,SQ,Not Applicable,Not Applicable,Existing,Not Applicable,426,,335,400,426,160,666.00,8.23,not found,not found,not found,not found,not found,not found,not found,5,5,5.48,20.00,9.27%,20.44%,153.2102879,49.09239354,26.86%,52.00,8.00,9.79,2.06,550.28,0.98,6.67,28.15,2051,247000,72.74
MPP_2,Millmerran,Steam Super Critical,QLD,SQ,Not Applicable,Not Applicable,Existing,Not Applicable,426,,335,400,426,160,666.00,8.23,not found,not found,not found,not found,not found,not found,not found,5,5,5.48,20.00,9.27%,20.44%,153.2102879,49.09239354,26.86%,52.00,8.00,9.79,2.06,550.28,0.98,6.67,28.15,2051,247000,72.74
MP1,Mt Piper,Steam Sub Critical,NSW,CNSW,Not Applicable,Not Applicable,Existing,Not Applicable,730,,705,710,730,150,540.00,9.00,not found,not found,not found,not found,not found,not found,not found,6,6,5.48,20.00,5.33%,30.52%,148.7062284,27.53229991,18.65%,28.00,8.00,9.74,7.22,564.11,0.97,5.48,78.33,2040,254000,124.65
MP2,Mt Piper,Steam Sub Critical,NSW,CNSW,Not Applicable,Not Applicable,Existing,Not Applicable,660,,705,710,730,150,540.00,8.92,not found,not found,not found,not found,not found,not found,not found,6,6,5.48,20.00,5.33%,30.52%,148.7062284,27.53229991,18.65%,28.00,8.00,9.74,7.22,564.11,0.97,5.48,78.33,2040,254000,112.70
STAN-1,Stanwell,Steam Sub Critical,QLD,CQ,Not Applicable,Not Applicable,Existing,Not Applicable,365,,365,365,365,115,504.00,8.58,not found,not found,not found,not found,not found,not found,not found,4,4,5.48,20.00,9.27%,20.44%,153.2102879,49.09239354,26.86%,38.00,8.00,9.96,4.96,572.32,0.93,6.67,57.42,2043,254000,62.33
STAN-2,Stanwell,Steam Sub Critical,QLD,CQ,Not Applicable,Not Applicable,Existing,Not Applicable,365,,365,365,365,115,504.00,8.58,not found,not found,not found,not found,not found,not found,not found,4,4,5.48,20.00,9.27%,20.44%,153.2102879,49.09239354,26.86%,38.00,8.00,9.96,4.96,572.32,0.93,6.67,57.42,2044,254000,62.33
STAN-3,Stanwell,Steam Sub Critical,QLD,CQ,Not Applicable,Not Applicable,Existing,Not Applicable,365,,365,365,365,115,504.00,8.58,not found,not found,not found,not found,not found,not found,not found,4,4,5.48,20.00,9.27%,20.44%,153.2102879,49.09239354,26.86%,38.00,8.00,9.96,4.96,572.32,0.93,6.67,57.42,2045,254000,62.33
STAN-4,Stanwell,Steam Sub Critical,QLD,CQ,Not Applicable,Not Applicable,Existing,Not Applicable,365,,365,365,365,115,504.00,8.58,not found,not found,not found,not found,not found,not found,not found,4,4,5.48,20.00,9.27%,20.44%,153.2102879,49.09239354,26.86%,38.00,8.00,9.96,4.96,572.32,0.93,6.67,57.42,2046,254000,62.33
TARONG#1,Tarong,Steam Sub Critical,QLD,SQ,Not Applicable,Not Applicable,Existing,Not Applicable,350,,350,350,350,140,504.00,8.57,not found,not found,not found,not found,not found,not found,not found,4,4,5.48,20.00,9.27%,20.44%,153.2102879,49.09239354,26.86%,38.00,7.00,10.01,3.86,572.95,0.97,6.67,45.62,2036,254000,59.77
